,Gene,Pathway
1,pst:PSPTO_0691,Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0691,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0691,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0693,Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0693,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0693,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0698,Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0698,Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0698,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0698,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0698,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0699,Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0699,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0699,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0699,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0923,Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0923,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0960,beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0960,Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0960,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_0960,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1077,Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1077,Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1077,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1077,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1079,Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1079,Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1079,Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1079,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1079,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1080,Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1080,Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1080,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1080,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1081,Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1081,Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1081,Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1081,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1081,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1128,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1128,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1128,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1430,Purine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1430,Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1430,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1430,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1430,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1459,Purine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1459,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1459,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1459,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1520,Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1520,Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1520,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1520,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1536,Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1536,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1538,Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1538,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1539,Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1539,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1539,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1546,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1546,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1546,Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1547,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1547,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1675,Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1675,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1675,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1700,Purine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1700,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1700,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1700,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1711,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1711,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1712,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1712,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1713,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1713,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1714,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1714,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1715,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1715,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1716,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1716,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1717,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1717,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1907,Benzoate degradation - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1907,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1907,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_1907,Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2022,Purine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2022,Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2022,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2022,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2043,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_2043,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2043,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2043,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2043,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2179,Galactose metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2179,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2179,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2210,Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2210,Biotin metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2210,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2210,Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2282,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2300,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2300,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2300,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2300,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2595,Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2595,Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2595,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2595,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2595,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2680,"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_2680,Lysine degradation - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2680,Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2680,Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2680,Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2680,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2680,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2709,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2709,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_2737,"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_2737,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3022,Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3022,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3149,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3149,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3154,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3154,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3344,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3344,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3344,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3344,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3721,Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3721,Biotin metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3721,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3721,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3721,Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3745,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3745,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3793,Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3793,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3814,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3814,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3816,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_3816,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3816,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3816,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3816,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3829,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3832,Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3832,Biotin metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3832,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3832,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3832,Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3833,Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3833,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3833,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3833,Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3843,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3843,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3871,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_3871,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4394,Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4394,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4394,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4402,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4402,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4495,Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4495,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4495,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4496,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4496,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4828,Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4828,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4859,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_4859,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4859,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4859,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4859,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4867,Purine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4867,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4867,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4867,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4874,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4874,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4875,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4875,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4876,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4876,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4877,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4877,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4878,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4878,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4880,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4880,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4922,Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4922,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4943,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4943,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4951,Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4951,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4955,Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4955,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4955,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4976,Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4976,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4978,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4978,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4983,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_4983,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5001,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5001,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5002,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5002,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5003,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5003,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5118,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5118,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5118,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5127,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000"
1,pst:PSPTO_5127,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5127,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5127,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5127,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5150,Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000
1,pst:PSPTO_5150,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000
