"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
Pseudomonas aeruginosa PAO1 (Reference)","PA0024","coproporphyrinogen III oxidase, aerobic","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0170","coproporphyrinogen III oxidase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0032","probable transcriptional regulator","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0164","LysR family transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0034","probable two-component response regulator","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4151","LuxR family DNA-binding response regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0036","tryptophan synthase beta chain","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0158","tryptophan synthase subunit beta",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0038","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0155","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0039","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0154","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0041","probable hemagglutinin","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3229","filamentous hemagglutinin, intein-containing","PSPTO_3227 | hypothetical protein"
Pseudomonas aeruginosa PAO1 (Reference)","PA0041","probable hemagglutinin","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3229","filamentous hemagglutinin, intein-containing","PSPTO_3218 | hypothetical protein"
Pseudomonas aeruginosa PAO1 (Reference)","PA0041","probable hemagglutinin","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3229","filamentous hemagglutinin, intein-containing","PSPTO_3210 | filamentous hemagglutinin family protein"
Pseudomonas aeruginosa PAO1 (Reference)","PA0046","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1251","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0047","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1252","lipoprotein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0057","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2446","metallo-beta-lactamase superfamily protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0059","osmotically inducible protein OsmC","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0152","osmotically inducible protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0061","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0150","lipoprotein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0068","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0143","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0074","serine/threonine protein kinase PpkA","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2874","ppkA-related protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0093","Tse6","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0373","Rhs family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0120","probable transcriptional regulator","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5244","GntR family transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0127","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3165","lipoprotein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0129","Amino acid permease","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5356","gamma-aminobutyrate permease",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0130","3-Oxopropanoate dehydrogenase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0775","methylmalonate-semialdehyde dehydrogenase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0133","BauR","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0773","LysR family transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0136","probable ATP-binding component of ABC transporter","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0769","ABC transporter ATP-binding protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0137","probable permease of ABC transporter","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0768","ABC transporter permease",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0140","alkyl hydroperoxide reductase subunit F","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3107","alkyl hydroperoxide reductase subunit F",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0142","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0765","hydroxydechloroatrazine ethylaminohydrolase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0144","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3273","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0146","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0759","bmp family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0152","transcriptional regulator PcaQ","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2337","pca operon transcriptional activator PcaQ",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0153","protocatechuate 3,4-dioxygenase, beta subunit","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2338","protocatechuate 3,4-dioxygenase subunit beta",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0154","protocatechuate 3,4-dioxygenase, alpha subunit","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2339","protocatechuate 3,4-dioxygenase subunit alpha",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0167","probable transcriptional regulator","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0771","TetR family transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0173","probable methylesterase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0908","protein-glutamate methylesterase CheB",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0175","probable chemotaxis protein methyltransferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0910","chemotaxis protein methyltransferase CheR",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0182","probable short-chain dehydrogenase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2097","3-ketoacyl-(acyl-carrier-protein) reductase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0192","probable TonB-dependent receptor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2605","TonB-dependent siderophore receptor",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0197","TonB2","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2481","tonB protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0199","transport protein ExbD","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2483","TonB system transport protein ExbD",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0201","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5218","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0210","malonate decarboxylase delta subunit","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5085","malonate decarboxylase subunit delta",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0212","malonate decarboxylase gamma subunit","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5083","malonate decarboxylase subunit gamma",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0213","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5082","phosphoribosyl-dephospho-CoA transferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0215","malonate transporter MadL","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5080","malonate transporter subunit MadL",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0230","3-carboxy-cis,cis-muconate cycloisomerase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2341","3-carboxy-cis,cis-muconate cycloisomerase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0240","probable porin","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2343","outer membrane porin, OprD family",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0241","probable major facilitator superfamily (MFS) transporter","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2345","transporter",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0243","probable transcriptional regulator","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2347","TetR family transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0247","p-hydroxybenzoate hydroxylase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1907","p-hydroxybenzoate hydroxylase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0248","probable transcriptional regulator","","Pseudomonas syringae pv. tomato DC3000","PSPTO_1908","transcriptional regulator PobR",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0260","Tle3","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5055","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0263","secreted protein Hcp","PA1512 | secreted protein Hcp","Pseudomonas syringae pv. tomato DC3000","PSPTO_5435","secreted protein Hcp",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0263","secreted protein Hcp","PA5267 | secreted protein Hcp","Pseudomonas syringae pv. tomato DC3000","PSPTO_5435","secreted protein Hcp",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0267","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0303","response regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0272","probable transcriptional regulator","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3547","LysR family transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0279","probable transcriptional regulator","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0756","transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0281","sulfate transport protein CysW","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0310","sulfate ABC transporter permease CysW",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0283","sulfate-binding protein precursor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0308","sulfate-binding protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0284","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0307","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0292","agmatine deiminase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5393","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0293","N-carbamoylputrescine amidohydrolase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5394","carbon-nitrogen hydrolase family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0294","transcriptional regulator AguR","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5311","TetR family transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0300","polyamine transport protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5307","putrescine ABC transporter periplasmic putrescine-binding protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0303","polyamine transport protein PotH","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5302","putrescine ABC transporter permease",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0309","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5297","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0310","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5296","2OG-Fe(II) oxygenase family oxidoreductase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0313","L-cysteine transporter of ABC system YecS","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5181","amino acid ABC transporter permease",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0314","L-cysteine transporter of ABC system FliY","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3008","amino acid ABC transporter substrate-binding protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0317","D-2-hydroxyglutarate dehydrogenase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5293","oxidoreductase, FAD-binding protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0319","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5291","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0327","calcium-regulated beta-propeller protein CarP","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5290","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0330","ribose 5-phosphate isomerase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5289","ribose 5-phosphate isomerase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0335","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5286","HAD-superfamily hydrolase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0337","phosphoenolpyruvate-protein phosphotransferase PtsP","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5284","phosphoenolpyruvate-protein phosphotransferase PtsP",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0341","prolipoprotein diacylglyceryl transferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5283","prolipoprotein diacylglyceryl transferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0344","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0439","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0345","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0438","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0353","dihydroxy-acid dehydratase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5057","dihydroxy-acid dehydratase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0354","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0412","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0357","formamidopyrimidine-DNA glycosylase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0414","formamidopyrimidine-DNA glycosylase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0359","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0415","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0363","phosphopantetheine adenylyltransferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0417","pantetheine-phosphate adenylyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0367","probable transcriptional regulator","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0419","TetR family transcriptional reguator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0370","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0424","methyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0373","signal recognition particle receptor FtsY","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0427","signal recognition particle-docking protein FtsY",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0380","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0433","thiamine biosynthesis protein ThiS",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0385","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5053","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0386","probable oxidase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5052","HemN family oxidoreductase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0387","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5051","Ham1 protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0392","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5048","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0395","twitching motility protein PilT","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5045","twitching motility protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0401","noncatalytic dihydroorotase-like protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5041","dihydroorotase, multifunctional complex type",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0402","aspartate carbamoyltransferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5040","aspartate carbamoyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0403","transcriptional regulator PyrR","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5039","pyrimidine operon regulatory protein PyrR",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0406","TonB3","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5036","tonB domain protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0411","twitching motility protein PilJ","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5031","type IV pilus biogenesis protein PilJ",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0421","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5074","amine oxidase, flavin-containing protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0423","PasP","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5071","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0432","S-adenosyl-L-homocysteine hydrolase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5068","adenosylhomocysteinase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3993 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3325 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3434 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3746 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA4797 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_5571 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2319 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_5571 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3434 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3274","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3993 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_2465","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3993 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_0372 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3434 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2167 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA4797 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3146","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2690 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2465 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA4797 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3746","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA4797 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3146 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2319 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3146 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3993 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3274 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3434 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3325 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2319 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3146","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2690 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3746 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3993 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3274","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2319 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3746","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA4797 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_2465","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3993 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_5571 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3434 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_0372 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2690 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2167 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA4797 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2465 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2319 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2465 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2319 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_2465","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3993 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3146 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3434 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3274 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2690 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3146","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2690 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3325 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA4797 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3274","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2690 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3746","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2319 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3746 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA4797 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3746 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3434 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_5571 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2690 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_0372 | ISPsy7, transposase"
