,Pathway,Gene,supergroup
39,Purine metabolism - Pseudomonas syringae pv. tomato DC3000,5,Nucleotide Metabolism
40,Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,2,Nucleotide Metabolism
41,Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,1,Core Metabolism
42,Quorum sensing - Pseudomonas syringae pv. tomato DC3000,1,Interaction with the Environment
43,RNA degradation - Pseudomonas syringae pv. tomato DC3000,1,Nucleic Acid Maintenance
44,RNA polymerase - Pseudomonas syringae pv. tomato DC3000,3,Nucleic Acid Maintenance
45,Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,4,Cofactor Metabolism
46,Ribosome - Pseudomonas syringae pv. tomato DC3000,49,Protein Biosynthesis
47,Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,1,Metabolism of Secondary Metabolites
48,Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4,Antibiotic Metabolism
49,Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,1,Sulfur Metabolism
50,Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,3,Metabolism of Secondary Metabolites
51,Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,5,Cofactor Metabolism
52,Two-component system - Pseudomonas syringae pv. tomato DC3000,1,Regulation
53,Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,1,Amino Acid Metabolism
54,Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,2,Cofactor Metabolism
55,"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",1,Amino Acid Metabolism
56,"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",2,Amino Acid Metabolism
57,beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,1,Amino Acid Metabolism
