Pathway,Genes,Type,,,,,,
"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",10,Nucleotide Metabolism,,,,,,
Pyrimidine metabolism,49,Nucleotide Metabolism,,,,,,
"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",3,Nucleotide Metabolism,,,,,,
Pyruvate metabolism,49,Core Metabolism,,,,,,
"Pyruvate oxidation, pyruvate => acetyl-CoA",4,Core Metabolism,,,,,,
Quorum sensing,40,Interaction with the Environment,,,,,,
"Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD",8,Cofactor Metabolism,,,,,,
Riboflavin metabolism,12,Cofactor Metabolism,,,,,,
RNA degradation,3,Nucleic Acid Maintainance,,,,,,
Selenocompound metabolism,12,Plant Metabolite Metabolism,,,,,,
"Serine biosynthesis, glycerate-3P => serine",3,Amino Acid Metabolism,,,,,,
"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",10,Amino Acid Metabolism,,,,,,
"Siroheme biosynthesis, glutamate => siroheme",7,Iron Metabolism,,,,,,
Sphingolipid metabolism,2,Fatty Acid Metabolism,,,,,,
Starch and sucrose metabolism,32,Carbohydrate Metabolism,,,,,,
Streptomycin biosynthesis,9,Antibiotic Metabolism,,,,,,
"Succinate dehydrogenase, prokaryotes",4,Carbohydrate Metabolism,,,,,,
Sulfate-sulfur assimilation,11,Sulfur Metabolism,,,,,,
Sulfur metabolism,30,Sulfur Metabolism,,,,,,
Sulfur relay system,11,Sulfur Metabolism,,,,,,
Taurine and hypotaurine metabolism,6,Sulfur Metabolism,,,,,,
Terpenoid backbone biosynthesis,12,Aromatic Coumpound Metabolism,,,,,,
"Tetrahydrofolate biosynthesis, GTP => THF",8,Nucleotide Metabolism,,,,,,
"Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P",5,Nucleotide Metabolism,,,,,,
Thiamine metabolism,15,Nucleotide Metabolism,,,,,,
"Threonine biosynthesis, aspartate => homoserine => threonine",6,Amino Acid Metabolism,,,,,,
"Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA",11,Cofactor Metabolism,,,,,,
"Tryptophan biosynthesis, chorismate => tryptophan",5,Amino Acid Metabolism,,,,,,
Tryptophan metabolism,9,Amino Acid Metabolism,,,,,,
Two-component system,67,Regulation,,,,,,
"Tyrosine biosynthesis, chorismate => tyrosine",3,Amino Acid Metabolism,,,,,,
Tyrosine metabolism,9,Amino Acid Metabolism,,,,,,
Ubiquinone and other terpenoid-quinone biosynthesis,18,Cofactor Metabolism,,,,,,
"Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone",8,Cofactor Metabolism,,,,,,
"Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N",4,Fatty Acid Metabolism,,,,,,
"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP",8,Nucleotide Metabolism,,,,,,
"Valine, leucine and isoleucine biosynthesis",15,Amino Acid Metabolism,,,,,,
"Valine, leucine and isoleucine degradation",10,Amino Acid Metabolism,,,,,,
"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",7,Amino Acid Metabolism,,,,,,
Vancomycin resistance,8,Antibiotic Metabolism,,,,,,
Vitamin B6 metabolism,9,Cofactor Metabolism,,,,,,
Xylene degradation,3,Carbohydrate Metabolism,,,,,,
