rxn_id,kegg_id,gpr,
rxn34022,JM_Cre_421,,
rxn34028,JM_Cre_431,,
rxn33859,JM_Cre_72,,
rxn33860,JM_Cre_73,,
rxn19997,L-3-CYANOALANINE-SYNTHASE-RXN.m,,
rxn20001,L-ARABINONATE-DEHYDRATASE-RXN.c,,
rxn00399,L-Arginine,,
rxn09908,LAAL2,,
rxn20042,LINC-RXN.c,,
rxn20043,LIND-RXN.c,,
rxn08954,MOAT3C,,
rxn12678,MUCCYCI,,
rxn12679,MUCLI,,
rxn20220,MYO-INOSITOL-2-DEHYDROGENASE-RXN.c,,
rxn12747,NACHY,,
rxn10124,NADH8,,
rxn08981,NAMNPP,,
rxn13734,NTRIRmmq2,,
rxn12777,OBDHm,,
rxn30043,OCBT,,
rxn09042,OMPHHX,,
rxn30080,ORNCD,,
rxn20495,ORNITHINE-CYCLODEAMINASE-RXN.c,,
rxn10951,PDH2,,
rxn20508,PEPCARBOX-RXN.c,,
rxn30514,PFOR,,
rxn09106,PGPP180pp,,
rxn09128,PLIPA1A180pp,,
rxn09180,PPPGO3,,
rxn20606,PRDABST-RXN.c,,
rxn11545,PRE3A,,
rxn20627,PROTOPORGENOXI-RXN.m,,
rxn20639,PYFLAVOXRE-RXN.c,,
rxn30753,PyrDH,,
rxn34582,R_BUPN,,
rxn35372,R_CMPA,,
rxn34424,R_FEROt,,
rxn34560,R_G6PDA,,
rxn00909,R_R01222_c,,
rxn35484,R_SELCYSLY2,,
rxn00103,R00134,PSPTO_5121,pprf:DPRO_0998
rxn00109,R00143,Unknown,
rxn00122,R00161,PSPTO_0805,
rxn00125,R00175,Unknown,
rxn00128,R00179,Unknown,
rxn00152,R00207,PSPTO_2510,
rxn00156,R00211,Unknown,
rxn00157,R00212,Unknown,
rxn00168,R00224,Unknown,
rxn00186,R00251,(PSPTO_2917 or PSPTO_2936),
rxn00196,R00264,(PSPTO_1881 or PSPTO_1891 or PSPTO_3644),
rxn00198,R00267,PSPTO_3356,
rxn00199,R00268,PSPTO_3356,
rxn00202,R00271,PSPTO_1444,ppd:Ppro_3466
rxn00213,R00289,PSPTO_3113,
rxn15029,R00303,Unknown,
rxn00223,R00307,Unknown,
rxn00236,R00328,Unknown,
rxn00239,R00332,PSPTO_0075,
rxn00250,R00344,(PSPTO_5510 and PSPTO_5511),
rxn00255,R00350,(PSPTO_3204 or PSPTO_2294),
rxn00257,R00352,Unknown,
rxn00258,R00353,(PSPTO_2922 or PSPTO_4860),
rxn00265,R00362,Unknown,
rxn00278,R00396,Unknown,
rxn00282,R00400,Unknown,
rxn00285,R00405,(PSPTO_2202 and PSPTO_2203),
rxn00287,R00407,Unknown,
rxn00306,R00432,(PSPTO_2202 and PSPTO_2203),
rxn00310,R00447,Unknown,
rxn00313,R00451,(PSPTO_0209 or PSPTO_0225),
rxn00336,R00479,PSPTO_3364,
rxn00354,R00501,Unknown,
rxn00356,R00503,Unknown,
rxn00371,R00519,PSPTO_2301,ppb:PPUBIRD1_0527
rxn00383,R00533,PSPTO_3600,ppl:POSPLDRAFT_87743
rxn00391,R00548,PSPTO_0221,
rxn00392,R00549,PSPTO_0805,
rxn15051,R00550,Unknown,
rxn15052,R00550,Unknown,
rxn00419,R00581,Unknown,
rxn00424,R00588,Unknown,
rxn00429,R00604,PSPTO_0455,
rxn00495,R00697,Unknown,
rxn00505,R00709,(PSPTO_3205 or PSPTO_2662 or PSPTO_2175),pphe:PP2015_4180
rxn00506,R00710,(PSPTO_1881 or PSPTO_1891 or PSPTO_3644),
rxn00507,R00711,PSPTO_0728,
rxn15059,R00725,Unknown,
rxn00519,R00726,Unknown,
rxn00520,R00727,Unknown,
rxn00530,R00737,Unknown,
rxn00542,R00753,Unknown,
rxn00544,R00755,PSPTO_2510,ecol:LY180_21020
rxn00548,R00761,PSPTO_1670,
rxn00561,R00775,Unknown,
rxn00570,R00793,Unknown,
rxn00586,R00815,Unknown,
rxn00588,R00817,(PSPTO_2338 and PSPTO_2339),pap:PSPA7_3907
rxn00593,R00822,Unknown,
rxn00594,R00823,PSPTO_5240,pap:PSPA7_2723
rxn00599,R00830,PSPTO_0495,bsuc:BSSP2_I0337
rxn00602,R00833,Unknown,
rxn00606,R00837,(PSPTO_2761 or PSPTO_3126 or PSPTO_2760),bsh:BSU6051_07810
rxn15087,R00878,PSPTO_3002,
rxn00639,R00881,Unknown,
rxn00654,R00905,PSPTO_3190,
rxn00676,R00927,PSPTO_3516,
rxn00684,R00936,PSPTO_0437,
rxn00690,R00943,Unknown,
rxn00748,R01016,Unknown,
rxn00749,R01019,Unknown,
rxn00770,R01049,PSPTO_1104,
rxn00778,R01057,(PSPTO_0083 or PSPTO_3035),
rxn00780,R01059,Unknown,
rxn00786,R01068,PSPTO_0390,
rxn15118,R01080,Unknown,
rxn00833,R01128,Unknown,
rxn00842,R01140,Unknown,
rxn00879,R01183,(PSPTO_3047 or PSPTO_3494),
rxn00898,R01209,PSPTO_5057,
rxn00916,R01230,PSPTO_1450,
rxn00926,R01244,PSPTO_0757,
rxn15162,R01245,PSPTO_2373,
rxn00937,R01267,Unknown,
rxn00952,R01287,PSPTO_3810,
rxn00957,R01293,PSPTO_2950,
rxn00958,R01294,(PSPTO_2950 or PSPTO_2943 pr PSPTO_0300 or PSPTO_2680),
rxn00961,R01297,Unknown,
rxn00963,R01299,Unknown,
rxn00988,R01357,PSPTO_1825,pap:PSPA7_3297
rxn01015,R01394,PSPTO_3048,
rxn01020,R01399,Unknown,
rxn01022,R01402,Unknown,
rxn01081,R01483,Unknown,
rxn01090,R01500,Unknown,
rxn01101,R01513,PSPTO_5294,
rxn01111,R01523,Unknown,
rxn15219,R01526,PSPTO_2702,bsh:BSU6051_28790
rxn01121,R01538,Unknown,
rxn01123,R01541,PSPTO_2782,
rxn15226,R01557,PSPTO_2761,
rxn01169,R01600,PSPTO_1289,
rxn01172,R01604,Unknown,
rxn01188,R01627,Unknown,
rxn01199,R01639,PSPTO_2702,
rxn01207,R01651,Unknown,
rxn01280,R01745,PSPTO_5060,pap:PSPA7_3831
rxn01284,R01750,Unknown,
rxn01328,R01817,Unknown,
rxn01369,R01879,Unknown,
rxn01370,R01880,Unknown,
rxn15279,R01899,PSPTO_3356,
rxn01390,R01902,PSPTO_2702,bsh:BSU6051_28790
rxn01393,R01905,Unknown,
rxn01421,R01937,Unknown,
rxn01422,R01938,Unknown,
rxn01423,R01939,Unknown,
rxn01440,R01962,Unknown,
rxn05289,R02016,PSPTO_1178,pap:PSPA7_2591
rxn05235,R02022,Unknown,
rxn01477,R02036,PSPTO_1288,
rxn01501,R02082,Unknown,
rxn01508,R02089,Unknown,
rxn01513,R02094,PSPTO_3827,
rxn01607,R02245,Unknown,
rxn01610,R02252,Unknown,
rxn01611,R02253,Unknown,
rxn01626,R02269,PSPTO_5041,
rxn01629,R02272,PSPTO_4800,
rxn01632,R02276,Unknown,
rxn01745,R02419,Unknown,
rxn01820,R02514,Unknown,
rxn01822,R02516,Unknown,
rxn01827,R02521,(PSPTO_2346 or PSPTO_3553),
rxn01830,R02526,(PSPTO_1052 or PSPTO_2637),ppb:PPUBIRD1_2442
rxn01843,R02540,(PSPTO_2421 or PSPTO_4526),
rxn01870,R02568,PSPTO_0390,
rxn01909,R02634,Unknown,
rxn01913,R02640,Unknown,
rxn01934,R02673,Unknown,
rxn01935,R02676,Unknown,
rxn01955,R02709,Unknown,
rxn15358,R02709,Unknown,
rxn01986,R02749,Unknown,
rxn01989,R02752,PSPTO_2911,
rxn01993,R02762,Unknown,
rxn02004,R02778,Unknown,
rxn02113,R02947,Unknown,
rxn02141,R02988,Unknown,
rxn02144,R02991,PSPTO_3138,
rxn02167,R03026,(PSPTO_2065 or PSPTO_2719 or PSPTO_3163 or PSPTO_3517),
rxn06306,R03077,Unknown,
rxn02267,R03169,Unknown,
rxn02293,R03204,Unknown,
rxn02401,R03347,Unknown,
rxn02408,R03354,Unknown,
rxn02416,R03369,Unknown,
rxn02429,R03387,PSPTO_2177,
rxn02476,R03460,(PSPTO_1041 or PSPTO_1748),
rxn02484,R03471,PSPTO_4798,
rxn02508,R03509,PSPTO_3816,
rxn02516,R03524,Unknown,
rxn02546,R03567,Unknown,
rxn02775,R03948,PSPTO_4875,
rxn06556,R04014,Unknown,
rxn02830,R04029,Unknown,
rxn02928,R04198,PSPTO_4503,
rxn02934,R04204,(PSPTO_2065 or PSPTO_2719 or PSPTO_3163 or PSPTO_3517),
rxn02937,R04208,PSPTO_1700,
rxn02989,R04293,Unknown,
rxn02998,R04306,Unknown,
rxn03050,R04399,Unknown,
rxn03078,R04453,Unknown,
rxn06700,R04469,Unknown,
rxn03136,R04559,PSPTO_2341,pap:PSPA7_1630
rxn03150,R04594,PSPTO_1716,
rxn12002,R04850,Unknown,
rxn03393,R04986,(PSPTO_0730 or PSPTO_5241),
rxn03395,R04988,PSPTO_1742,
rxn03512,R05177,PSPTO_4876,
rxn03532,R05217,PSPTO_4877,
rxn03534,R05219,PSPTO_2709,
rxn03535,R05220,(PSPTO_1708 or PSPTO_4396),
rxn03537,R05222,PSPTO_1714,
rxn03538,R05223,PSPTO_1717,
rxn10476,R05227,PSPTO_3149,
rxn06893,R05267,Unknown,
rxn03670,R05369,Unknown,
rxn03671,R05370,PSPTO_2495,psm:PSM_B0300
rxn03779,R05483,Unknown,
rxn03783,R05487,Unknown,
rxn03916,R05644,PSPTO_4983,
rxn03968,R05698,Unknown,
rxn03993,R05728,Unknown,
rxn12303,R06043,Unknown,
rxn15570,R06067,Unknown,
rxn15311,R06125,Unknown,
rxn04139,R06146,(PSPTO_5221 and PSPTO_5222),ecl:EcolC_2983
rxn15617,R06453,(PSPTO_4686 or PSPTO_4687),ag:AAA19695
rxn04455,R06603,Unknown,
rxn04597,R06782,PSPTO_2302,bsuv:BSPT2_II0670
rxn04599,R06784,PSPTO_3809,ecl:EcolC_1136
rxn04646,R06831,PSPTO_2302,ppf:Pput_2878
rxn04647,R06832,PSPTO_0363,
rxn04648,R06833,PSPTO_2338,pkc:PKB_3273
rxn04649,R06834,PSPTO_2911,pkc:PKB_3274
rxn04650,R06835,PSPTO_2806,
rxn04651,R06836,PSPTO_2566,
rxn04782,R06973,Unknown,
rxn04932,R07134,(PSPTO_2397 or PSPTO_2723 or PSPTO_2396 or PSPTO_1056),pgu:PGUG_01910
rxn04933,R07135,Unknown,
rxn04941,R07143,Unknown,
rxn05029,R07268,(PSPTO_1708 or PSPTO_4396),
rxn05040,R07281,(PSPTO_0692 or PSPTO_2668),
rxn05054,R07302,(PSPTO_1711 and PSPTO_1712),
rxn05067,R07319,Unknown,
rxn05107,R07395,PSPTO_2047,
rxn05109,R07399,Unknown,
rxn07524,R07710,Unknown,
rxn07845,R08056,(PSPTO_2911 or PSPTO_3285),
rxn07847,R08058,Unknown,
rxn07858,R08069,Unknown,
rxn08043,R08648,(PSPTO_0981 and PSPTO_0982),
rxn13966,R08656,Unknown,
rxn16114,R09254,Unknown,
rxn16149,R09289,(PSPTO_4914 or PSPTO_2916 or PSPTO_1861),ppf:Pput_0521
rxn16319,R09477,,
rxn09953,R09524,,
rxn16566,R09720,,
rxn16597,R09751,,
rxn16790,R09945,,
rxn16791,R09945,,
rxn16799,R09952,,
rxn11078,rbs_207,,
rxn30594,reac_139,,
rxn37018,RIBOKIN-RXN.c.metaexp.CPD0-1108,,
rxn37019,RIBOSE-ISOMERASE-RXN.c.metaexp.CPD0-1108,,
rxn09234,RNDR4b,,
rxn09235,RNTR1c,,
rxn10591,RXN-10969.c,,
rxn21438,RXN-11150.c,,
rxn37045,RXN-11236.c.metaexp.CPD-12115_DEMETHYLMENAQUINONE,,
rxn37050,RXN-11237.c.metaexp.CPD-9956_UBIQUINONE-8,,
rxn21635,RXN-11322.c,,
rxn09167,RXN-11496.c.metaexp.CPD-9956_UBIQUINONE-8,,
rxn23024,RXN-12590.c,,
rxn23132,RXN-12726.c,,
rxn23244,RXN-12914.c,,
rxn23629,RXN-13372.c,,
rxn23648,RXN-13404.c,,
rxn23650,RXN-13406.c,,
rxn23730,RXN-1744.c,,
rxn23924,RXN-4313.c,,
rxn23963,RXN-4621.c,,
rxn23966,RXN-4641.c,,
rxn24306,RXN-7561.c,,
rxn24928,RXN-8442.c,,
rxn24940,RXN-8457.c,,
rxn25164,RXN-8807.c,,
rxn25186,RXN-8839.c,,
rxn25273,RXN-8968.c,,
rxn28413,RXN-8992.d,,
rxn25583,RXN-9458.ce,,
rxn25741,RXN-9653.c,,
rxn25799,RXN-974.c,,
rxn25911,RXN-9885.c,,
rxn25914,RXN-9891.c,,
rxn28604,RXN0-18.cp,,
rxn09174,RXN0-268.c,,
rxn26079,RXN0-4301.c,,
rxn26080,RXN0-4341.c,,
rxn09014,RXN0-5107.c,,
rxn26129,RXN0-5185.c,,
rxn26434,RXN0-6562.c,,
rxn26471,RXN0-723.c,,
rxn26472,RXN0-724.c,,
rxn26473,RXN0-745.c,,
rxn00050,rxn00050,,
rxn00281,rxn00281,,
rxn00734,rxn00734,,
rxn33675,rxn102_v,,
rxn26761,RXN4FS-14.c,,
rxn03826,rxn885_c,,
rxn12239,RXNIM-6212,,
rxn28948,RXNQT-4304.c,,
rxn30059,SADH,,
rxn13746,SO3R3,,
rxn12811,SO4t4_2,,
rxn30524,SULRix,,
rxn30064,THRD_L,,
rxn09310,THZPSN,,
rxn11007,TMDSf,,
rxn05513,TRANS-RXN-194.ce,,
rxn29239,TRANS-RXN4LZ-6845.cd,,
rxn05238,TRANS-RXNBWI-115353.ce,,
rxn13150,U90,,
rxn09345,UDCPDPS,,
rxn30069,UGLYCH,,
rxn27423,URA-PHOSPH-RXN.c,,
