Pathway,Gene
Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,23
Tryptophan metabolism - Pseudomonas syringae pv. tomato DC3000,80
Two-component system - Pseudomonas syringae pv. tomato DC3000,78
Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,59
Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,26
"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",37
"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",117
Vancomycin resistance - Pseudomonas syringae pv. tomato DC3000,13
Vitamin B6 metabolism - Pseudomonas syringae pv. tomato DC3000,22
alpha-Linolenic acid metabolism - Pseudomonas syringae pv. tomato DC3000,9
beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,61
beta-Lactam resistance - Pseudomonas syringae pv. tomato DC3000,2
