,Pathway,Gene,supergroup
26,Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,10,Glycerolipid Metabolism
27,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",9,Amino Acid Metabolism
28,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,34,Virulence
29,Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000,5,Amino Acid Metabolism
30,Lysine degradation - Pseudomonas syringae pv. tomato DC3000,2,Amino Acid Metabolism
31,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000,322,
32,Methane metabolism - Pseudomonas syringae pv. tomato DC3000,2,Carbon Metabolism
33,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,29,Metabolism in Diverse Environments
34,Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,12,Cofactor Metabolism
35,Novobiocin biosynthesis - Pseudomonas syringae pv. tomato DC3000,2,Antibiotic Metabolism
36,One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,8,Cofactor Metabolism
37,Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,20,Fatty Acid Metabolism
38,Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000,2,Carbohydrate Metabolism
39,Phenylalanine metabolism - Pseudomonas syringae pv. tomato DC3000,2,Amino Acid Metabolism
40,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",24,Amino Acid Metabolism
41,Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,8,Carbohydrate Metabolism
42,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,48,Metabolism of Aromatic Compounds
43,Purine metabolism - Pseudomonas syringae pv. tomato DC3000,26,Nucleotide Metabolism
44,Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,24,Nucleotide Metabolism
45,Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,2,Core Metabolism
46,Quorum sensing - Pseudomonas syringae pv. tomato DC3000,2,Interaction with the Environment
47,RNA degradation - Pseudomonas syringae pv. tomato DC3000,2,Nucleic Acid Maintenance
48,Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,8,Cofactor Metabolism
49,Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,2,Metabolism of Secondary Metabolites
50,Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,8,Antibiotic Metabolism
51,Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,10,Sulfur Metabolism
52,Synthesis and degradation of ketone bodies - Pseudomonas syringae pv. tomato DC3000,2,Fatty Acid Metabolism
53,Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,18,Metabolism of Secondary Metabolites
54,Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,10,Cofactor Metabolism
55,Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,4,Amino Acid Metabolism
56,Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,8,Cofactor Metabolism
57,"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",6,Amino Acid Metabolism
58,"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",12,Amino Acid Metabolism
59,Vitamin B6 metabolism - Pseudomonas syringae pv. tomato DC3000,9,Cofactor Metabolism
60,beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,2,Amino Acid Metabolism
