,Pathway,Gene,supergroup,,,,,,
39,Fructose and mannose metabolism - Pseudomonas syringae pv. tomato DC3000,13,Carbohydrate Metabolism,,,,,,
40,Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,12,Carbohydrate Metabolism,,,,,,
41,Geraniol degradation - Pseudomonas syringae pv. tomato DC3000,6,Metabolism of Secondary Metabolites,,,,,,
42,Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,12,Amino Acid Metabolism,,,,,,
43,Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,10,Glycerolipid Metabolism,,,,,,
44,Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,18,Glycerolipid Metabolism,,,,,,
45,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",27,Amino Acid Metabolism,,,,,,
46,Glycolysis / Gluconeogenesis - Pseudomonas syringae pv. tomato DC3000,27,Core Metabolism,,,,,,
47,Glyoxylate and dicarboxylate metabolism - Pseudomonas syringae pv. tomato DC3000,23,Carbohydrate Metabolism,,,,,,
48,Histidine metabolism - Pseudomonas syringae pv. tomato DC3000,16,Amino Acid Metabolism,,,,,,
49,Homologous recombination - Pseudomonas syringae pv. tomato DC3000,7,Nucleic Acid Maintenance,,,,,,
50,Inositol phosphate metabolism - Pseudomonas syringae pv. tomato DC3000,5,Metabolism of Aromatic Compounds,,,,,,
51,Limonene and pinene degradation - Pseudomonas syringae pv. tomato DC3000,7,Metabolism of Secondary Metabolites,,,,,,
52,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,17,Virulence,,,,,,
53,Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000,11,Amino Acid Metabolism,,,,,,
54,Lysine degradation - Pseudomonas syringae pv. tomato DC3000,19,Amino Acid Metabolism,,,,,,
56,Methane metabolism - Pseudomonas syringae pv. tomato DC3000,16,Carbon Metabolism,,,,,,
57,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,177,Metabolism in Diverse Environments,,,,,,
58,Mismatch repair - Pseudomonas syringae pv. tomato DC3000,7,Nucleic Acid Maintenance,,,,,,
59,Monobactam biosynthesis - Pseudomonas syringae pv. tomato DC3000,6,Antibiotic Metabolism,,,,,,
60,Naphthalene degradation - Pseudomonas syringae pv. tomato DC3000,1,Metabolism of Aromatic Compounds,,,,,,
61,Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,17,Cofactor Metabolism,,,,,,
62,Nitrogen metabolism - Pseudomonas syringae pv. tomato DC3000,11,Nitrogen Metabolism,,,,,,
63,Novobiocin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4,Antibiotic Metabolism,,,,,,
64,Nucleotide excision repair - Pseudomonas syringae pv. tomato DC3000,1,Nucleic Acid Maintenance,,,,,,
65,One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,14,Cofactor Metabolism,,,,,,
66,Oxidative phosphorylation - Pseudomonas syringae pv. tomato DC3000,23,Core Metabolism,,,,,,
67,Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,13,Fatty Acid Metabolism,,,,,,
68,Pentose and glucuronate interconversions - Pseudomonas syringae pv. tomato DC3000,6,Carbohydrate Metabolism,,,,,,
69,Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000,22,Carbohydrate Metabolism,,,,,,
70,Peptidoglycan biosynthesis - Pseudomonas syringae pv. tomato DC3000,10,Virulence,,,,,,
71,Phenylalanine metabolism - Pseudomonas syringae pv. tomato DC3000,12,Amino Acid Metabolism,,,,,,
72,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",24,Amino Acid Metabolism,,,,,,
73,Phosphonate and phosphinate metabolism - Pseudomonas syringae pv. tomato DC3000,1,Phosphorus Metabolism,,,,,,
74,Phosphotransferase system (PTS) - Pseudomonas syringae pv. tomato DC3000,3,Phosphorus Metabolism,,,,,,
75,Plant-pathogen interaction - Pseudomonas syringae pv. tomato DC3000,1,Interaction with the Environment,,,,,,
76,Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,4,Carbohydrate Metabolism,,,,,,
77,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,31,Metabolism of Aromatic Compounds,,,,,,
78,Propanoate metabolism - Pseudomonas syringae pv. tomato DC3000,26,Carbohydrate Metabolism,,,,,,
79,Purine metabolism - Pseudomonas syringae pv. tomato DC3000,59,Nucleotide Metabolism,,,,,,
80,Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,23,Nucleotide Metabolism,,,,,,
81,Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,39,Core Metabolism,,,,,,
82,Quorum sensing - Pseudomonas syringae pv. tomato DC3000,25,Interaction with the Environment,,,,,,
83,RNA degradation - Pseudomonas syringae pv. tomato DC3000,2,Nucleic Acid Maintenance,,,,,,
84,RNA polymerase - Pseudomonas syringae pv. tomato DC3000,3,Nucleic Acid Maintenance,,,,,,
85,Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,8,Cofactor Metabolism,,,,,,
86,Ribosome - Pseudomonas syringae pv. tomato DC3000,51,Protein Biosynthesis,,,,,,
87,Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,9,Metabolism of Secondary Metabolites,,,,,,
88,Starch and sucrose metabolism - Pseudomonas syringae pv. tomato DC3000,16,Carbohydrate Metabolism,,,,,,
89,Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,9,Antibiotic Metabolism,,,,,,
90,Styrene degradation - Pseudomonas syringae pv. tomato DC3000,5,Metabolism of Aromatic Compounds,,,,,,
91,Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,26,Sulfur Metabolism,,,,,,
92,Sulfur relay system - Pseudomonas syringae pv. tomato DC3000,2,Sulfur Metabolism,,,,,,
93,Synthesis and degradation of ketone bodies - Pseudomonas syringae pv. tomato DC3000,5,Fatty Acid Metabolism,,,,,,
94,Taurine and hypotaurine metabolism - Pseudomonas syringae pv. tomato DC3000,4,Sulfur Metabolism,,,,,,
95,Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,12,Metabolism of Secondary Metabolites,,,,,,
96,Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,10,Cofactor Metabolism,,,,,,
97,Toluene degradation - Pseudomonas syringae pv. tomato DC3000,1,Metabolism of Aromatic Compounds,,,,,,
98,Tryptophan metabolism - Pseudomonas syringae pv. tomato DC3000,17,Amino Acid Metabolism,,,,,,
99,Two-component system - Pseudomonas syringae pv. tomato DC3000,14,Regulation,,,,,,
100,Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,14,Amino Acid Metabolism,,,,,,
101,Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,11,Cofactor Metabolism,,,,,,
102,"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",12,Amino Acid Metabolism,,,,,,
103,"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",26,Amino Acid Metabolism,,,,,,
104,Vancomycin resistance - Pseudomonas syringae pv. tomato DC3000,5,Antibiotic Metabolism,,,,,,
105,Vitamin B6 metabolism - Pseudomonas syringae pv. tomato DC3000,5,Cofactor Metabolism,,,,,,
106,Xylene degradation - Pseudomonas syringae pv. tomato DC3000,1,Metabolism of Aromatic Compounds,,,,,,
107,alpha-Linolenic acid metabolism - Pseudomonas syringae pv. tomato DC3000,1,Fatty Acid Metabolism,,,,,,
108,beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,12,Amino Acid Metabolism,,,,,,
109,beta-Lactam resistance - Pseudomonas syringae pv. tomato DC3000,1,Antibiotic Metabolism,,,,,,
