,Pathway,Gene,supergroup
40,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",27,Amino Acid Metabolism
41,Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,8,Carbohydrate Metabolism
42,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,48,Metabolism of Aromatic Compounds
43,Purine metabolism - Pseudomonas syringae pv. tomato DC3000,32,Nucleotide Metabolism
44,Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,27,Nucleotide Metabolism
45,Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,2,Core Metabolism
46,Quorum sensing - Pseudomonas syringae pv. tomato DC3000,2,Interaction with the Environment
47,RNA degradation - Pseudomonas syringae pv. tomato DC3000,2,Nucleic Acid Maintenance
48,Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,8,Cofactor Metabolism
49,Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,3,Metabolism of Secondary Metabolites
50,Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,8,Antibiotic Metabolism
51,Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,14,Sulfur Metabolism
52,Synthesis and degradation of ketone bodies - Pseudomonas syringae pv. tomato DC3000,3,Fatty Acid Metabolism
53,Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,19,Metabolism of Secondary Metabolites
54,Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,10,Cofactor Metabolism
55,Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,5,Amino Acid Metabolism
56,Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,8,Cofactor Metabolism
57,"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",6,Amino Acid Metabolism
58,"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",16,Amino Acid Metabolism
59,Vitamin B6 metabolism - Pseudomonas syringae pv. tomato DC3000,12,Cofactor Metabolism
60,beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,2,Amino Acid Metabolism
