,Pathway,Gene,supergroup
26,Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,2,Glycerolipid Metabolism
27,Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,6,Glycerolipid Metabolism
28,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",1,Amino Acid Metabolism
29,Histidine metabolism - Pseudomonas syringae pv. tomato DC3000,6,Amino Acid Metabolism
30,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,14,Virulence
31,Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000,2,Amino Acid Metabolism
33,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,12,Metabolism in Diverse Environments
34,Monobactam biosynthesis - Pseudomonas syringae pv. tomato DC3000,2,Antibiotic Metabolism
35,Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,3,Cofactor Metabolism
36,One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,2,Cofactor Metabolism
37,Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,11,Fatty Acid Metabolism
38,Pentose and glucuronate interconversions - Pseudomonas syringae pv. tomato DC3000,2,Carbohydrate Metabolism
39,Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000,2,Carbohydrate Metabolism
40,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",8,Amino Acid Metabolism
41,Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,4,Carbohydrate Metabolism
42,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,7,Metabolism of Aromatic Compounds
43,Purine metabolism - Pseudomonas syringae pv. tomato DC3000,13,Nucleotide Metabolism
44,Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,12,Nucleotide Metabolism
45,Quorum sensing - Pseudomonas syringae pv. tomato DC3000,2,Interaction with the Environment
46,Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,4,Cofactor Metabolism
47,Starch and sucrose metabolism - Pseudomonas syringae pv. tomato DC3000,1,Carbohydrate Metabolism
48,Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4,Antibiotic Metabolism
49,Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,1,Sulfur Metabolism
50,Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,10,Metabolism of Secondary Metabolites
51,Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,4,Cofactor Metabolism
52,Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,9,Cofactor Metabolism
53,"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",5,Amino Acid Metabolism
54,Vitamin B6 metabolism - Pseudomonas syringae pv. tomato DC3000,1,Cofactor Metabolism
55,beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,1,Amino Acid Metabolism
