,0,12,24,36,48,60
alpha-Hydroxy Glutaric Acid-gamma-Lactone,0.0702,0.1162,0.1174,0.1201,0.1251,0.1062
Bromo Succinic Acid,0.0757,0.2599,0.2907,0.2662,0.2452,0.229
L-Alanyl-Glycine,0.0686,0.1842,0.3621,0.3943,0.4146,0.3559
L-Lyxose,0.0698,0.0852,0.0939,0.1112,0.0958,0.086
L-Aspartic Acid,0.0682,0.2467,0.3843,0.3454,0.2979,0.3218
"D,L-alpha-Glycerol-Phosphate",0.0702,0.1234,0.1696,0.1877,0.1932,0.1862
D-Fructose,0.0695,0.1792,0.2231,0.2741,0.3685,0.4664
alpha-Keto-Butyric Acid,0.0707,0.0881,0.0945,0.0948,0.1119,0.1022
alpha-Hydroxy Butyric Acid,0.0713,0.1086,0.1131,0.1132,0.1193,0.1051
Propionic Acid,0.0668,0.08,0.0856,0.0942,0.1268,0.139
Acetoacetic Acid,0.068,0.1155,0.1126,0.1104,0.0985,0.0954
Glucuronamide,0.0711,0.096,0.1073,0.1126,0.1168,0.1234
L-Proline,0.0683,0.1645,0.3295,0.4798,0.6242,0.6368
D-Xylose,0.0932,0.1288,0.287,0.4122,0.5434,0.5094
Acetic Acid,0.0609,0.1498,0.1943,0.2273,0.2108,0.1934
alpha-Methyl-D-Glucoside,0.0699,0.1186,0.1284,0.1156,0.1035,0.0899
beta-Methyl-D-Glucoside,0.0678,0.112,0.1164,0.1036,0.0993,0.0797
Mucic Acid,0.0837,0.3282,0.569,0.4866,0.4398,0.407
N-Acetyl-beta-D-Mannosamine,0.068,0.1115,0.1188,0.1169,0.1158,0.1189
Pyruvic Acid,0.0728,0.1648,0.2689,0.346,0.3272,0.3011
D-Alanine,0.07,0.206,0.3559,0.4552,0.5103,0.4282
L-Lactic Acid,0.072,0.1082,0.108,0.0996,0.1049,0.1027
alpha-D-Glucose,0.0683,0.3949,0.5219,0.5429,0.5681,0.5754
alpha-D-Lactose,0.0704,0.1149,0.1157,0.1046,0.1143,0.0881
Adonitol,0.0682,0.1119,0.1172,0.1151,0.1121,0.0992
Glycolic Acid,0.0691,0.1051,0.1078,0.1123,0.1066,0.1037
Mono Methyl Succinate,0.0658,0.0915,0.1246,0.1544,0.1482,0.149
L-Galactonic Acid-gamma-Lactone,0.0681,0.1003,0.1388,0.1705,0.1425,0.1265
D-Trehalose,0.067,0.1116,0.1122,0.1029,0.1202,0.0944
Formic Acid,0.0633,0.1027,0.105,0.1008,0.0955,0.0886
Maltose,0.0676,0.1088,0.1126,0.1118,0.1301,0.118
Lactulose,0.0698,0.1141,0.113,0.0992,0.1195,0.101
Maltotriose,0.0701,0.1321,0.139,0.1297,0.1382,0.1103
Glyoxylic Acid,0.0638,0.0985,0.1015,0.1028,0.0958,0.0996
Methyl Pyruvate,0.0729,0.184,0.2641,0.3367,0.3166,0.3028
D-Galacturonic Acid,0.0675,0.1114,0.1343,0.1795,0.2619,0.336
D-Mannose,0.0749,0.2052,0.4347,0.5782,0.6192,0.5712
D-Mannitol,0.0703,0.2772,0.5736,0.6509,0.6567,0.6532
D-Melibiose,0.0699,0.1089,0.1062,0.1037,0.127,0.1159
Sucrose,0.0716,0.3046,0.5328,0.5548,0.5627,0.5453
2-Deoxy Adenosine,0.0663,0.0552,0.0636,0.0644,0.0616,0.0612
D-Cellobiose,0.0662,0.1194,0.1223,0.1234,0.1224,0.1206
D-Malic Acid,0.0674,0.3118,0.5136,0.4494,0.3889,0.3361
Phenylethylamine,0.0682,0.094,0.0975,0.0902,0.0926,0.0933
Dulcitol,0.0704,0.1124,0.1189,0.1164,0.1055,0.1364
L-Glutamic Acid,0.0796,0.4389,0.5534,0.4967,0.5522,0.5106
Thymidine,0.072,0.1106,0.1139,0.1712,0.1436,0.1345
Uridine,0.0733,0.204,0.4504,0.6226,0.4107,0.349
Adenosine,0.0685,0.1076,0.1275,0.2222,0.2767,0.2337
Inosine,0.067,0.1439,0.3113,0.4325,0.609,0.564
L-Malic Acid,0.0598,0.3841,0.4389,0.2872,0.2837,0.287
2-Aminoethanol,0.0648,0.1016,0.1117,0.2001,0.1011,0.1084
N-Acetyl-D-Galactosamine,0.0616,0.1194,0.1211,0.1132,0.1256,0.1247
Gentiobiose,0.0594,0.1172,0.1207,0.1435,0.121,0.1238
D-Raffinose,0.0574,0.1145,0.1326,0.1391,0.1556,0.1699
Capric Acid,0.0743,0.1222,0.2479,0.1842,0.1924,0.203
D-Lactic Acid Methyl Ester,0.0598,0.1069,0.113,0.1298,0.1258,0.1236
Acetamide,0.0587,0.1091,0.1074,0.1308,0.1125,0.1042
L-Ornithine,0.0598,0.0663,0.0635,0.0759,0.1118,0.1161
Chondroitin Sulfate C,0.0622,0.1048,0.0996,0.0856,0.078,0.0684
N-Acetyl-Neuraminic Acid,0.0664,0.1108,0.1043,0.1061,0.1053,0.1196
L-Glucose,0.061,0.1051,0.1027,0.1109,0.1206,0.1098
Salicin,0.0698,0.1255,0.1156,0.1326,0.079,0.1011
Caproic Acid,0.0763,0.1242,0.1331,0.1459,0.2493,0.2996
Malonic Acid,0.0592,0.1085,0.1556,0.2254,0.2522,0.2081
L-Alaninamide,0.0609,0.1013,0.1042,0.1136,0.1273,0.1417
L-Phenylalanine,0.0622,0.0995,0.1106,0.122,0.1441,0.1597
alpha-Cyclodextrin,0.0676,0.1216,0.1212,0.1454,0.1614,0.1528
beta-D-Allose,0.0634,0.1079,0.1095,0.1088,0.1171,0.0757
Lactitol,0.0616,0.118,0.1157,0.1131,0.1054,0.1
Sedoheptulosan,0.0631,0.124,0.1172,0.1147,0.115,0.1164
Citraconic Acid,0.0696,0.1303,0.125,0.1215,0.1178,0.098
Melibionic Acid,0.0842,0.1261,0.1321,0.1351,0.147,0.1597
N-Acteyl-L-Glutamic Acid,0.057,0.2117,0.4083,0.4943,0.4784,0.4045
L-Pyroglutamic Acid,0.0578,0.119,0.2525,0.4582,0.5651,0.5156
beta-Cyclodextrin,0.0652,0.1117,0.1105,0.1056,0.1033,0.1049
Amygdalin,0.0636,0.142,0.1362,0.1334,0.1313,0.125
D-Melezitose,0.061,0.1216,0.1181,0.1134,0.109,0.1065
L-Sorbose,0.0647,0.1185,0.1129,0.1083,0.1163,0.1185
Citramalic Acid,0.0665,0.1127,0.1012,0.0928,0.1101,0.1188
Oxalic Acid,0.0649,0.1122,0.1026,0.098,0.0992,0.0971
L-Arginine,0.0573,0.1074,0.1227,0.1791,0.2538,0.3383
L-Valine,0.0584,0.0742,0.0849,0.0962,0.1135,0.1342
gamma-Cyclodextrin,0.066,0.1114,0.1104,0.1042,0.0986,0.0955
D-Arabinose,0.066,0.1017,0.0989,0.0976,0.0994,0.0993
Maltitol,0.063,0.1286,0.1206,0.1174,0.1164,0.1132
Stachyose,0.0636,0.121,0.117,0.1142,0.1286,0.1311
D-Glucosamine,0.0717,0.1095,0.1206,0.1249,0.1307,0.129
Oxalomalic Acid,0.0628,0.1224,0.1152,0.1132,0.1357,0.0999
Glycine,0.0605,0.0638,0.0642,0.0761,0.0792,0.0726
"D,L-Carnitine",0.0573,0.0997,0.0932,0.0875,0.0873,0.0863
Dextrin,0.0688,0.133,0.1328,0.1432,0.1536,0.1499
D-Arabitol,0.0641,0.1977,0.3328,0.4486,0.5162,0.544
a-Methyl-D-Glucoside,0.0623,0.127,0.1157,0.1104,0.1165,0.1175
D-Tagatose,0.0731,0.1142,0.1121,0.1108,0.1146,0.1179
2-Hydroxy Benzoic Acid,0.079,0.0748,0.0639,0.0613,0.0624,0.0612
Quinic Acid,0.0635,0.1897,0.4044,0.4996,0.5675,0.506
L-Histidine,0.0614,0.1078,0.1133,0.1438,0.2241,0.3883
Sec-Butylamine,0.0581,0.0985,0.0946,0.0895,0.0907,0.089
Gelatin,0.0749,0.1154,0.1049,0.0955,0.1052,0.1116
L-Arabitol,0.0628,0.1166,0.1156,0.11,0.1176,0.1174
beta-Methyl-D-Galactoside,0.062,0.1267,0.1182,0.118,0.1131,0.1072
Turanose,0.0638,0.1356,0.1281,0.117,0.1563,0.1384
4-Hydroxy Benzoic Acid,0.0684,0.0718,0.0654,0.0665,0.0707,0.0738
"D-Ribino-1,4-Lactone",0.0601,0.1041,0.099,0.0975,0.0949,0.0936
L-Homoserine,0.0556,0.0558,0.0519,0.0525,0.0545,0.0532
"D,L-Octopamine",0.0603,0.0989,0.0928,0.0864,0.0934,0.0919
Glycogen,0.0673,0.1231,0.1168,0.1128,0.1069,0.1036
Arbutin,0.0645,0.1213,0.1186,0.113,0.1202,0.121
3-Methyl Glucose,0.0653,0.1221,0.1116,0.1079,0.1103,0.1152
Xylitol,0.0656,0.1234,0.1136,0.1042,0.1174,0.1134
beta-Hydroxy Butyric Acid,0.0649,0.0951,0.1018,0.1145,0.1346,0.1589
Sebacic Acid,0.0653,0.1033,0.0982,0.094,0.0971,0.0981
Hydroxy-L-Proline,0.06,0.1211,0.1112,0.1058,0.1063,0.1004
Putrescine,0.062,0.0963,0.0928,0.0876,0.0885,0.0872
Inulin,0.3866,0.4433,0.4484,0.447,0.4532,0.4514
2-Deoxy-D-Ribose,0.0736,0.0876,0.0892,0.0888,0.0913,0.0907
beta-Methyl-D-Glucuronic Acid,0.0699,0.1228,0.1161,0.114,0.1076,0.104
N-Acetyl-D-Glucosaminitol,0.0714,0.118,0.1118,0.1072,0.116,0.1021
gamma-Hydroxy Butyric Acid,0.0657,0.1129,0.107,0.1062,0.1032,0.1025
Sorbic Acid,0.0718,0.0988,0.0996,0.1022,0.1072,0.1025
L-Isoleucine,0.0595,0.0878,0.0895,0.0947,0.0987,0.1028
Dihydroxy Acetone,0.119,0.112,0.1126,0.1102,0.1116,0.11
Laminarin,0.0621,0.257,0.2797,0.2623,0.2584,0.2523
i-Erythritol,0.0653,0.1163,0.1192,0.1095,0.1288,0.1099
alpha-Methyl-D-Mannoside,0.0654,0.1228,0.1174,0.1085,0.1398,0.1237
gamma-Amino Butyric Acid,0.067,0.2134,0.4484,0.682,0.7584,0.6625
a-Keto-Valeric Acid,0.0699,0.1045,0.0968,0.1027,0.1042,0.1036
Succinamic Acid,0.0607,0.1189,0.1161,0.1251,0.1228,0.1266
L-Leucine,0.0593,0.1134,0.1372,0.1593,0.2141,0.2751
"2,3-Butanediol",0.0574,0.1018,0.0952,0.0888,0.0971,0.1084
Mannan,0.0703,0.1158,0.1112,0.1051,0.0999,0.0959
D-Fucose,0.0656,0.1113,0.1286,0.1147,0.1402,0.1138
beta-Methyl-D-Xyloside,0.0673,0.1218,0.1145,0.1105,0.126,0.1175
delta-Amino Valeric Acid,0.0693,0.1029,0.1316,0.1457,0.1872,0.2157
Itaconic Acid,0.0683,0.1134,0.1064,0.1056,0.1111,0.1093
D-Tartaric Acid,0.0611,0.1663,0.3478,0.3356,0.3121,0.2951
L-Lysine,0.0593,0.1113,0.1094,0.1071,0.1116,0.0953
"2,3-Butanedione",0.0593,0.0868,0.0818,0.0747,0.0755,0.0752
Pectin,0.1165,0.3243,0.3469,0.3341,0.3133,0.4213
3-0-beta-D-Galacto-pyranosyl-D-Arabinose,0.0775,0.1246,0.125,0.1243,0.1136,0.1587
Palatinose,0.0665,0.1008,0.1027,0.0975,0.1004,0.0753
Butyric Acid,0.0779,0.1168,0.1321,0.1556,0.1464,0.2431
5-Keto-D-Gluconic Acid,0.0691,0.1182,0.1097,0.1013,0.1158,0.0846
L-Tartaric Acid,0.0605,0.1116,0.1026,0.1036,0.1491,0.1164
L-Methionine,0.0615,0.0887,0.0844,0.0821,0.0814,0.0677
3-Hydroxy 2-Butanone,0.0574,0.1049,0.0966,0.0918,0.0922,0.0905
Neg,0.0577,0.1142,0.1163,0.1111,0.1299,0.2198
Neg,0.0605,0.1117,0.1054,0.101,0.0891,0.0857
D-Serine,0.0562,0.0888,0.0852,0.0803,0.0792,0.0779
D-Glucose-6-Phosphate,0.0572,0.1117,0.1107,0.119,0.1339,0.1391
L-Asparagine,0.0574,0.2896,0.5105,0.4493,0.4476,0.3494
L-Glutamine,0.0551,0.3712,0.7176,0.6205,0.6638,0.6773
Glycyl-L-Aspartic Acid,0.06,0.1138,0.1063,0.1164,0.1225,0.1246
Glycyl-L-Glutamic Acid,0.0599,0.1275,0.172,0.2157,0.2461,0.3179
Glycyl-L-Proline,0.0581,0.1085,0.1059,0.1086,0.1091,0.1254
L-Arabinose,0.056,0.1831,0.459,0.4884,0.5948,0.5127
D-Sorbitol,0.0569,0.1098,0.1447,0.2477,0.2863,0.3042
D-Galactonic Acid-gamma-Lactone,0.0589,0.2594,0.6234,0.7063,0.5784,0.5943
D-Aspartic Acid,0.0557,0.0971,0.11,0.1022,0.1074,0.1009
m-Tartaric Acid,0.0577,0.1222,0.261,0.3127,0.2581,0.2364
Citric Acid,0.0582,0.333,0.4467,0.3664,0.3181,0.2848
Tricarboxylic Acid,0.0583,0.1036,0.1032,0.1146,0.1144,0.1064
p-Hydroxy Phenyl Acetic Acid,0.0582,0.0943,0.0951,0.0981,0.1062,0.0994
N-Acetyl-D-Glucosamine,0.0571,0.1136,0.1143,0.116,0.1146,0.1064
Glycerol,0.0544,0.2373,0.3012,0.3222,0.3324,0.3701
"D,L-Malic Acid",0.0567,0.3474,0.5105,0.4695,0.4476,0.2946
D-Glucosaminic Acid,0.0579,0.1063,0.1493,0.1959,0.2849,0.387
D-Glucose-1-Phoshate,0.0576,0.1094,0.1119,0.1099,0.1003,0.1087
m-Inositol,0.0576,0.2534,0.5296,0.6744,0.751,0.8562
L-Serine,0.0583,0.3206,0.5163,0.476,0.4221,0.3688
m-Hydroxy Phenyl Acetic Acid,0.0612,0.0924,0.0981,0.1048,0.102,0.0991
D-Saccharic Acid,0.061,0.3387,0.4735,0.4386,0.3341,0.5016
L-Fructose,0.0579,0.1078,0.1041,0.1028,0.0842,0.0935
D-Ribose,0.0607,0.1498,0.2694,0.4421,0.4574,0.4681
"1,2-Propanediol",0.0714,0.1125,0.1078,0.1058,0.1058,0.1013
D-Fructose-6-Phosphate,0.0596,0.0996,0.101,0.1066,0.109,0.1312
D-Threonine,0.0555,0.0943,0.0836,0.08,0.0886,0.0709
L-Threonine,0.0588,0.0982,0.1055,0.1214,0.1245,0.135
Tyramine,0.0641,0.0966,0.0996,0.1029,0.0958,0.0771
Succinic Acid,0.06,0.3057,0.3646,0.3368,0.3111,0.3071
D-Glucuronic Acid,0.0577,0.1534,0.4017,0.4508,0.3936,0.3635
Tween 20,0.0659,0.1657,0.2213,0.2426,0.2027,0.2179
Tween 40,0.0653,0.1973,0.2156,0.2161,0.1989,0.2294
Tween 80,0.0654,0.1672,0.199,0.2087,0.1631,0.1926
Fumaric Acid,0.0842,0.1948,0.3684,0.3132,0.3208,0.2667
L-Alanine,0.0552,0.177,0.4295,0.5483,0.5293,0.4634
D-Psicose,0.0596,0.1448,0.1398,0.1456,0.1412,0.1441
D-Galactose,0.0547,0.2698,0.5932,0.6737,0.7568,0.7966
D-Gluconic Acid,0.0585,0.3089,0.538,0.4983,0.4463,0.408
L-Rhamnose,0.0575,0.1045,0.0971,0.1115,0.0974,0.1352
alpha-Keto-Glutaric Acid,0.0564,0.1271,0.2267,0.2656,0.2392,0.2442
alpha-Hydroxy Glutaric Acid-gamma-Lactone,0.0569,0.1126,0.1129,0.1144,0.117,0.1215
Bromo Succinic Acid,0.0739,0.2522,0.2945,0.2873,0.2573,0.2495
L-Alanyl-Glycine,0.0573,0.1783,0.3619,0.392,0.4024,0.3332
L-Lyxose,0.0585,0.0877,0.0895,0.0948,0.1006,0.103
L-Aspartic Acid,0.0573,0.2691,0.3564,0.3901,0.3574,0.4571
"D,L-alpha-Glycerol-Phosphate",0.059,0.1221,0.1849,0.1953,0.1737,0.1798
D-Fructose,0.0572,0.1706,0.2416,0.3191,0.4186,0.5528
alpha-Keto-Butyric Acid,0.0611,0.0862,0.0922,0.0919,0.0933,0.0897
alpha-Hydroxy Butyric Acid,0.0521,0.1058,0.1059,0.1038,0.1064,0.1004
Propionic Acid,0.0937,0.076,0.0831,0.0921,0.0978,0.1031
Acetoacetic Acid,0.0589,0.1173,0.1126,0.1077,0.1052,0.1047
Glucuronamide,0.0585,0.0975,0.0987,0.1281,0.1348,0.1262
L-Proline,0.0573,0.1909,0.4609,0.7139,0.6847,0.7129
D-Xylose,0.0573,0.131,0.2411,0.4,0.5532,0.5141
Acetic Acid,0.0543,0.147,0.2112,0.2472,0.2333,0.2044
alpha-Methyl-D-Glucoside,0.0563,0.111,0.11,0.122,0.1256,0.1334
beta-Methyl-D-Glucoside,0.0564,0.1117,0.1116,0.1082,0.1119,0.1071
Mucic Acid,0.053,0.2711,0.4905,0.4699,0.4193,0.3962
N-Acetyl-beta-D-Mannosamine,0.0572,0.1112,0.1103,0.1117,0.1173,0.1087
Pyruvic Acid,0.0546,0.1581,0.2645,0.3817,0.3406,0.3102
D-Alanine,0.0578,0.2062,0.3477,0.4878,0.5105,0.4954
L-Lactic Acid,0.0566,0.1084,0.1091,0.1087,0.106,0.1069
alpha-D-Glucose,0.056,0.3363,0.5287,0.5648,0.5916,0.6148
alpha-D-Lactose,0.0575,0.1122,0.0987,0.1105,0.0953,0.1044
Adonitol,0.0568,0.1095,0.1104,0.1067,0.1069,0.1033
Glycolic Acid,0.1075,0.103,0.1042,0.1082,0.1112,0.0939
Mono Methyl Succinate,0.0584,0.0887,0.1077,0.1339,0.1485,0.1827
L-Galactonic Acid-gamma-Lactone,0.0586,0.1032,0.1319,0.1637,0.1592,0.14
D-Trehalose,0.0529,0.1106,0.1197,0.1128,0.1186,0.1079
Formic Acid,0.0556,0.0934,0.1136,0.1049,0.11,0.0954
Maltose,0.0565,0.1095,0.1036,0.116,0.1103,0.1148
Lactulose,0.0548,0.1057,0.1042,0.1182,0.1079,0.1332
Maltotriose,0.0546,0.1233,0.1262,0.1357,0.1295,0.1392
Glyoxylic Acid,0.0575,0.0938,0.0864,0.0882,0.0784,0.0826
Methyl Pyruvate,0.0571,0.1541,0.2689,0.333,0.3174,0.2995
D-Galacturonic Acid,0.0578,0.1122,0.1276,0.1835,0.2746,0.3469
D-Mannose,0.0571,0.2025,0.476,0.5849,0.476,0.4737
D-Mannitol,0.0725,0.2369,0.4825,0.5654,0.6029,0.6078
D-Melibiose,0.0613,0.1168,0.1038,0.119,0.1032,0.122
Sucrose,0.0572,0.3197,0.5272,0.5731,0.5711,0.5501
2-Deoxy Adenosine,0.052,0.0447,0.0499,0.0575,0.0578,0.0566
D-Cellobiose,0.056,0.1209,0.1197,0.132,0.1129,0.149
D-Malic Acid,0.0556,0.241,0.4758,0.4346,0.4225,0.3102
Phenylethylamine,0.0785,0.0962,0.0947,0.0925,0.0842,0.0943
Dulcitol,0.0574,0.1094,0.0992,0.0977,0.0855,0.0818
L-Glutamic Acid,0.0564,0.3526,0.5915,0.5085,0.4811,0.4279
Thymidine,0.0538,0.108,0.1051,0.1033,0.1005,0.1035
Uridine,0.0545,0.1695,0.3521,0.4646,0.4758,0.4386
Adenosine,0.058,0.1049,0.1388,0.2068,0.1934,0.1942
Inosine,0.0611,0.1559,0.2352,0.4458,0.4423,0.4473
L-Malic Acid,0.057,0.3385,0.3903,0.3587,0.3078,0.2974
2-Aminoethanol,0.0596,0.1043,0.1065,0.1029,0.1153,0.1861
N-Acetyl-D-Galactosamine,0.0655,0.1087,0.1117,0.1151,0.1085,0.1112
Gentiobiose,0.0639,0.1103,0.1236,0.1175,0.1214,0.1338
D-Raffinose,0.074,0.1168,0.1272,0.1243,0.1424,0.141
Capric Acid,0.268,0.108,0.1543,0.2612,0.2494,0.2718
D-Lactic Acid Methyl Ester,0.0602,0.1062,0.1083,0.1005,0.1101,0.1104
Acetamide,0.0714,0.1081,0.1081,0.1046,0.1016,0.0973
L-Ornithine,0.0632,0.0717,0.0743,0.0775,0.0855,0.0854
Chondroitin Sulfate C,0.0722,0.0985,0.0889,0.0852,0.0804,0.0782
N-Acetyl-Neuraminic Acid,0.1098,0.108,0.1145,0.1168,0.1118,0.1128
L-Glucose,0.0643,0.106,0.1082,0.1028,0.1097,0.112
Salicin,0.0736,0.1117,0.1082,0.1224,0.096,0.1227
Caproic Acid,0.0673,0.0982,0.1255,0.1586,0.1938,0.2692
Malonic Acid,0.0628,0.1052,0.1676,0.2233,0.1812,0.167
L-Alaninamide,0.0623,0.1122,0.1202,0.1315,0.1341,0.181
L-Phenylalanine,0.0666,0.1047,0.1285,0.1446,0.1636,0.1919
alpha-Cyclodextrin,0.0704,0.1134,0.1169,0.1164,0.1119,0.104
beta-D-Allose,0.0626,0.1007,0.1114,0.123,0.1056,0.1188
Lactitol,0.0638,0.1091,0.1143,0.1124,0.1,0.1
Sedoheptulosan,0.0621,0.1088,0.1127,0.103,0.1179,0.0998
Citraconic Acid,0.064,0.118,0.1183,0.1297,0.1243,0.1123
Melibionic Acid,0.0761,0.1134,0.1171,0.1102,0.1002,0.0971
N-Acteyl-L-Glutamic Acid,0.0609,0.195,0.3507,0.4513,0.4279,0.3631
L-Pyroglutamic Acid,0.062,0.1462,0.2926,0.4956,0.5572,0.4976
beta-Cyclodextrin,0.0628,0.109,0.108,0.1047,0.1043,0.0968
Amygdalin,0.0927,0.1208,0.1251,0.1261,0.1141,0.1255
D-Melezitose,0.0636,0.1068,0.1217,0.1146,0.1039,0.1122
L-Sorbose,0.0632,0.1088,0.1066,0.1037,0.0993,0.1055
Citramalic Acid,0.0695,0.1055,0.103,0.0966,0.0964,0.0907
Oxalic Acid,0.0676,0.1194,0.1217,0.1134,0.1067,0.1022
L-Arginine,0.0636,0.1019,0.1495,0.2048,0.2662,0.3628
L-Valine,0.0634,0.0827,0.0976,0.1103,0.1289,0.1368
gamma-Cyclodextrin,0.0678,0.1086,0.113,0.1078,0.1046,0.1035
D-Arabinose,0.0683,0.0985,0.098,0.1102,0.1048,0.0957
Maltitol,0.0625,0.1088,0.111,0.1068,0.0959,0.0847
Stachyose,0.0644,0.1068,0.1176,0.1139,0.1144,0.1147
D-Glucosamine,0.0707,0.1024,0.1065,0.109,0.1049,0.1095
Oxalomalic Acid,0.0635,0.1164,0.1138,0.1217,0.1237,0.1424
Glycine,0.0623,0.0661,0.0767,0.0811,0.0827,0.0792
"D,L-Carnitine",0.065,0.1021,0.0985,0.0932,0.0912,0.0877
Dextrin,0.0938,0.1194,0.1216,0.133,0.1115,0.1001
D-Arabitol,0.0643,0.186,0.3273,0.3562,0.3718,0.3633
a-Methyl-D-Glucoside,0.0904,0.1105,0.12,0.1125,0.1158,0.1094
D-Tagatose,0.067,0.1058,0.1099,0.1138,0.1203,0.1255
2-Hydroxy Benzoic Acid,0.0695,0.0707,0.0667,0.0698,0.0656,0.0637
Quinic Acid,0.064,0.2053,0.3018,0.3344,0.3399,0.3518
L-Histidine,0.0662,0.1054,0.1241,0.1408,0.2254,0.3286
Sec-Butylamine,0.0652,0.1074,0.1115,0.104,0.0974,0.0958
Gelatin,0.1195,0.1362,0.1224,0.1145,0.108,0.0955
L-Arabitol,0.1455,0.1111,0.1184,0.1066,0.1267,0.118
beta-Methyl-D-Galactoside,0.0638,0.1128,0.1125,0.1099,0.1064,0.1023
Turanose,0.0653,0.1151,0.1289,0.1264,0.1226,0.1239
4-Hydroxy Benzoic Acid,0.0638,0.0749,0.1058,0.1262,0.1863,0.2663
"D-Ribino-1,4-Lactone",0.0627,0.1075,0.1114,0.1021,0.091,0.0937
L-Homoserine,0.0639,0.0589,0.0639,0.0655,0.0645,0.0598
"D,L-Octopamine",0.0722,0.1072,0.1024,0.1049,0.0931,0.1005
Glycogen,0.0699,0.1185,0.118,0.1125,0.1247,0.1055
Arbutin,0.0634,0.1071,0.1393,0.122,0.1272,0.1179
3-Methyl Glucose,0.0633,0.107,0.1083,0.1086,0.1196,0.1026
Xylitol,0.065,0.1203,0.1081,0.1176,0.0998,0.099
beta-Hydroxy Butyric Acid,0.0616,0.0879,0.1098,0.1351,0.1737,0.2348
Sebacic Acid,0.0737,0.1019,0.1022,0.1019,0.0993,0.117
Hydroxy-L-Proline,0.0678,0.1066,0.1164,0.1183,0.1159,0.1059
Putrescine,0.0647,0.0969,0.1027,0.1068,0.088,0.0852
Inulin,0.1846,0.357,0.3593,0.3643,0.359,0.3604
