cor_synth,,
EX_cpd00309_e,,
EX_cpd01092_e,,
reactions without genes,model seed reaction,possible genes
rxn00545_c,ATP:D-fructose-6-phosphate 1-phosphotransferase,
rxn00547_c,ATP:D-fructose 6-phosphotransferase,
rxn00551_c,diphosphate:D-fructose-6-phosphate 1-phosphotransferase,
rxn00553_c,UDP-glucose:D-fructose-6-phosphate 2-alpha-D-glucosyltransferase,
rxn00554_c,CTP:D-fructose-6-phosphate 1-phosphotransferase,
rxn00556_c,UTP:D-fructose-6-phosphate 1-phosphotransferase,
rxn00557_c,ITP:D-fructose-6-phosphate 1-phosphotransferase,
rxn00558_c,D-glucose-6-phosphate aldose-ketose-isomerase,
rxn00559_c,D-mannose-6-phosphate aldose-ketose-isomerase,
rxn00562_c,(S)-ureidoglycolate urea-lyase (glyoxylate-forming),
rxn00575_c,sucrose glucohydrolase,
rxn00577_c,sucrose:phosphate alpha-D-glucosyltransferase,
rxn00579_c,UDP-glucose:D-fructose 2-alpha-D-glucosyltransferase,
rxn00587_c,"Catechol:oxygen 2,3-oxidoreductase (decyclizing)",
rxn00601_c,succinyl-CoA:L-arginine N2-succinyltransferase,
rxn00604_c,D-glucose-6-phosphate:NADP+ 1-oxidoreductase,
rxn00605_c,UDP-glucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase,
rxn00613_c,sn-glycerol-3-phosphate:NADP+ 1-oxidoreductase,
rxn00623_c,hydrogen-sulfide:NADP+ oxidoreductase,
rxn00635_c,ITP:D-fructose 6-phosphotransferase,
rxn00636_c,D-mannose aldose-ketose-isomerase,
rxn00647_c,L-Cysteine:2-oxoglutarate aminotransferase,
rxn00657_c,beta-alanine:2-oxoglutarate aminotransferase,
rxn00680_c,"propanoyl-CoA:glyoxylate C-propanoyltransferase (thioester-hydrolysing, 2-carboxyethyl-forming)",
rxn00688_c,10-formyltetrahydrofolate:NADP+ oxidoreductase,
rxn00701_c,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase,
rxn00709_c,ATP:uridine 5'-phosphotransferase,
rxn00712_c,UTP:uridine 5'-phosphotransferase,
rxn00713_c,GTP:uridine 5'-phosphotransferase,
rxn00715_c,ITP:uridine 5'-phosphotransferase,
rxn00718_c,"5,6-Dihydrouracil:oxygen oxidoreductase",
rxn00719_c,"5,6-Dihydrouracil:NAD+ oxidoreductase",
rxn00720_c,"5,6-Dihydrouracil:NADP+ oxidoreductase",
rxn00726_c,chorismate pyruvate-lyase (amino-accepting; anthranilate-forming),
rxn00727_c,Chorismate pyruvate-lyase (amino-accepting),
rxn00737_c,L-threonine ammonia-lyase (2-oxobutanoate-forming),
rxn00738_c,1-aminocyclopropane-1-carboxylate aminohydrolase (isomerizing),
rxn00747_c,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,
rxn00772_c,ATP:D-ribose 5-phosphotransferase,
rxn00774_c,Ribose-5-phosphate:ammonia ligase (ADP-forming),
rxn00784_c,2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase (D-glyceraldehyde-3-phosphate-forming),
rxn00785_c,D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase,
rxn00797_c,Uridine ribohydrolase,
rxn00798_c,D-ribose aldose-ketose-isomerase,
rxn00803_c,Maleate cis-trans-isomerase,
rxn00808_c,ATP:D-galactose 1-phosphotransferase,
rxn00814_c,D-Galactose:oxygen 6-oxidoreductase,
rxn00816_c,Lactose galactohydrolase,
rxn00829_c,ATP:(R)-5-diphosphomevalonate carboxy-lyase (adding ATP; isopentenyl-diphosphate-forming),
rxn00835_c,ATP:inosine 5'-phosphotransferase,
rxn00849_c,D-Alanine:2-oxoglutarate aminotransferase,
rxn00852_c,Putrescine:oxygen oxidoreductase (deaminating),
rxn00853_c,N-Carbamoylputrescine amidohydrolase,
rxn00856_c,putrescine:2-oxoglutarate aminotransferase,
rxn00877_c,2-Methylpropanoyl-CoA CoA-carbonylmutase,
rxn00880_c,myo-Inositol:oxygen oxidoreductase,
rxn00899_c,3-methyl-2-oxobutanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating),
rxn00904_c,L-Valine:pyruvate aminotransferase,
rxn00905_c,2-dehydropantoate formaldehyde-lyase (3-methyl-2-oxobutanoate-forming),
rxn00910_c,5-methyltetrahydrofolate:NADP+ oxidoreductase,
rxn00915_c,GMP:diphosphate 5-phospho-alpha-D-ribosyltransferase,
rxn00917_c,Xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming),
rxn00919_c,GDPglucose sugarphosphohydrolase,
rxn00921_c,4-hydroxybenzoate carboxy-lyase (phenol-forming),
rxn00933_c,proline racemase,
rxn00941_c,nicotinamide-D-ribonucleotide:diphosphate phospho-alpha-D-ribosyltransferase,
rxn00943_c,Palmitoyl-CoA hydrolase,
rxn00949_c,L-homocysteine hydrogen-sulfide-lyase (deaminating; 2-oxobutanoate-forming),
rxn00960_c,"4-hydroxybenzoate,NADH:oxygen oxidoreductase (3-hydroxylating)",
rxn00962_c,"4-hydroxybenzoate,NADPH:oxygen oxidoreductase (3-hydroxylating)",
rxn00979_c,glycolaldehyde:NAD+ oxidoreductase,
rxn00989_c,Acetoacetyl-CoA hydrolase,
rxn00990_c,Acetoacetyl-CoA:acetate CoA-transferase,
rxn00993_c,4-fumarylacetoacetate fumarylhydrolase,
rxn01007_c,UDP-D-glucuronate carboxy-lyase (UDP-D-xylose-forming),
rxn01008_c,UDP-glucuronate 4-epimerase,
rxn01011_c,D-Glycerate:NAD+ 2-oxidoreductase,
rxn01012_c,R01390,
rxn01013_c,D-Glycerate:NADP+ 2-oxidoreductase,
rxn01014_c,hydroxypyruvate carboxy-lyase (glycolaldehyde-forming),
rxn01025_c,5-Methylcytosine aminohydrolase,
rxn01027_c,"5,6-Dihydrothymine:NAD+ oxidoreductase",
rxn01028_c,"5,6-Dihydrothymine:NADP+ oxidoreductase",
rxn01043_c,xylitol:NADP+ oxidoreductase,
rxn01044_c,D-xylose aldose-ketose-isomerase,
rxn01072_c,Ethanolamine:oxygen oxidoreductase (deaminating),
rxn01075_c,UDP-L-arabinose 4-epimerase,
rxn01080_c,D-glucuronate aldose-ketose-isomerase,
rxn01091_c,D-galactosyl-N-acylsphingosine galactohydrolase,
rxn01114_c,ATP:D-ribulose 5-phosphotransferase,
rxn01115_c,6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating),
rxn01117_c,D-arabinose-5-phosphate aldose-ketose-isomerase,
rxn01126_c,2-amino-2-deoxy-D-gluconate ammonia-lyase,
rxn01129_c,dATP:uridine 5'-phosphotransferase,
rxn01141_c,"N,N-Dimethylglycine:oxygen oxidoreductase (demethylating)",
rxn01174_c,3-hydroxypropanoate:NAD+ oxidoreductase,
rxn01186_c,Acetyl-phosphate:L-lysine N6-acetyltransferase,
rxn01187_c,D-Xylulose 5-phosphate D-glyceraldehyde-3-phosphate-lyase (adding phosphate; acetyl-phosphate-forming),
rxn01189_c,"3-hydroxybenzoate,NADPH:oxygen oxidoreductase (4-hydroxylating)",
rxn01193_c,"Protocatechuate:oxygen 4,5-oxidoreductase (decyclizing)",
rxn01211_c,"5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)",
rxn01213_c,GPPSYN-RXN,
rxn01216_c,"3-phospho-D-glycerate 1,2-phosphomutase",
rxn01225_c,Guanine aminohydrolase,
rxn01253_c,Pyridoxamine:pyruvate aminotransferase,
rxn01258_c,chorismate hydroxymutase,
rxn01261_c,nicotinate:NADP+ 6-oxidoreductase (hydroxylating),
rxn01265_c,Nicotinate D-ribonucleotide:diphosphate phosphoribosyltransferase,
rxn01270_c,L-arogenate:2-oxoglutarate aminotransferase,
rxn01275_c,ATP:D-Gluconate 6-phosphotransferase,
rxn01281_c,(R)-Glycerate:NADP+ oxidoreductase,
rxn01283_c,D-Glycerate:NAD+ oxidoreductase (carboxylating),
rxn01285_c,"(R,R)-tartrate carboxy-lyase (D-glycerate-forming)",
rxn01287_c,,
rxn01289_c,,
rxn01290_c,,
rxn01291_c,,
rxn01292_c,,
rxn01299_c,,
rxn01304_c,,
rxn01358_c,,
rxn01363_c,,
rxn01366_c,,
rxn01388_c,isocitrate hydro-lyase (cis-aconitate-forming),
rxn01418_c,,
rxn01419_c,,
rxn01439_c,,
rxn01443_c,,
rxn01455_c,,
rxn01465_c,,
rxn01500_c,,
rxn01518_c,,
rxn01522_c,,
rxn01524_c,Xanthine:oxygen oxidoreductase,
rxn01547_c,,
rxn01634_c,,
rxn01641_c,5-Formiminotetrahydrofolate:L-glutamate N-formiminotransferase,
rxn01644_c,,
rxn01647_c,Nicotinate D-ribonucleoside:orthophosphate ribosyltransferase,
rxn01649_c,,
rxn01679_c,,
rxn01748_c,,
rxn01763_c,,
rxn01775_c,,
rxn01779_c,,
rxn01780_c,,
rxn01799_c,,
rxn01803_c,,
rxn01826_c,,
rxn01829_c,,
rxn01833_c,,
rxn01846_c,,
rxn01847_c,,
rxn01848_c,,
rxn01884_c,,
rxn01910_c,,
rxn01919_c,,
rxn01920_c,,
rxn01927_c,,
rxn01968_c,,
rxn01977_c,,
rxn01990_c,,
rxn02028_c,,
rxn02173_c,,
rxn02186_c,,
rxn02190_c,,
rxn02242_c,,
rxn02251_c,,
rxn02269_c,,
rxn02270_c,,
rxn02276_c,,
rxn02296_c,,
rxn02304_c,,
rxn02322_c,,
rxn02324_c,Gallate carboxy-lyase,
rxn02346_c,,
rxn02402_c,,
rxn02405_c,,
rxn02430_c,,
rxn02523_c,,
rxn02533_c,,
rxn02545_c,,
rxn02547_c,,
rxn02667_c,,
rxn02728_c,,
rxn02760_c,Sucrose 6-phosphate fructohydrolase,
rxn02820_c,,
rxn02827_c,R04026,
rxn02832_c,,
rxn02835_c,,
rxn02887_c,3-Hydroxybenzyl-alcohol:NADP+ oxidoreductase,
rxn02889_c,,
rxn02893_c,,
rxn02895_c,,
rxn02897_c,,
rxn02915_c,,
rxn02927_c,,
rxn02930_c,,
rxn02931_c,,
rxn02992_c,,
rxn03005_c,,
rxn03054_c,,
rxn03089_c,,
rxn03167_c,,
rxn03248_c,Hexanoyl-CoA:acetyl-CoA C-acyltransferase,
rxn03329_c,,
rxn03397_c,,
rxn03442_c,,
rxn03461_c,,
rxn03462_c,,
rxn03491_c,,
rxn03492_c,,
rxn03511_c,,
rxn03513_c,,
rxn03514_c,,
rxn03536_c,,
rxn03619_c,,
rxn03750_c,,
rxn03883_c,,
rxn03885_c,,
rxn03907_c,,
rxn03908_c,,
rxn03910_c,,
rxn03918_c,,
rxn03990_c,,
rxn03991_c,,
rxn04043_c,,
rxn04082_c,,
rxn04092_c,,
rxn04413_c,,
rxn04464_c,,
rxn04661_c,,
rxn04675_c,,
rxn04702_c,,
rxn04783_c,,
rxn04784_c,,
rxn04794_c,,
rxn04942_c,,
rxn04950_c,,
rxn04954_c,,
rxn05038_c,,
rxn05039_c,,
rxn05059_c,,
rxn05061_c,,
rxn05108_c,,
rxn05144_c,,
rxn05161_c,nonpolar-amino-acid-transporting ATPase,
rxn05162_c,D-galactose transport via ABC system,
rxn05163_c,putrescine transport via ABC system,
rxn05168_c,nonpolar-amino-acid-transporting ATPase,
rxn05176_c,,
rxn05179_c,nonpolar-amino-acid-transporting ATPase,
rxn05183_c,D-methionine transport via ABC system,
rxn05199_c,Uridine permease,
rxn05202_c,,
rxn05211_c,,
rxn05213_c,,
rxn05215_c,Alanine-Sodium symporter,
rxn05219_c,nonpolar-amino-acid-transporting ATPase,
rxn05229_c,,
rxn05291_c,,
rxn05303_c,TRANS-RXNBWI-115637.ce.maizeexp.ARG_ARG,
rxn05313_c,phosphate transport in/out via three Na+ symporter,
rxn05316_c,,
rxn05361_c,4-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase,
rxn05371_c,,
rxn05377_c,12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase,
rxn05381_c,,
rxn05386_c,,
rxn05390_c,,
rxn05402_c,13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase,
rxn05434_c,,
rxn05436_c,,
rxn05439_c,,
rxn05441_c,,
rxn05442_c,,
rxn05467_c,,
rxn05468_c,,
rxn05469_c,pyruvate reversible transport via proton symport,
rxn05494_c,D-alanine transport via proton symport,
rxn05500_c,L-arabinose transport via proton symport,
rxn05508_c,TRANS-RXNBWI-115637.ce.maizeexp.ASN_ASN,
rxn05520_c,,
rxn05565_c,"D-galactarte transport via proton symport, reversible",
rxn05566_c,D-galactose transport in via proton symport,
rxn05571_c,"D-gluconate transport via proton symport, reversible",
rxn05572_c,"D-glucarate transport via proton symport, reversible",
rxn05573_c,D-glucose transport in via proton symport,
rxn05585_c,hexanesulfonate transport via ABC system,
rxn05593_c,Myo-inositol transporter 1,
rxn05603_c,D-malate transport in via proton symport,
rxn05607_c,maltose transport via PEP:Pyr PTS,
rxn05611_c,D-mannose transport in via proton symport,
rxn05618_c,,
rxn05682_c,,
rxn05694_c,L-Pyroglutamic Acid transport in via proton symport,
rxn05695_c,TRANS-RXNAVI-26524.ce.brachyexp.NYSTOSE_NYSTOSE,
rxn05696_c,D-Glucosaminic Acid transport in via proton symport,
rxn05728_c,,
rxn05743_c,,
rxn05744_c,,
rxn06060_c,,
rxn06078_c,,
rxn06459_c,,
rxn06729_c,(R)-3-Hydroxytetradecanoly-[acyl-carrier-protein]:UDP-N-acetyl-glucosamine 3-O-(3-hydroxytetradecanoyl)transferase,
rxn06749_c,,
rxn06865_c,,
rxn07218_c,,
rxn07429_c,,
rxn07480_c,,
rxn07481_c,,
rxn07482_c,,
rxn07523_c,,
rxn07623_c,,
rxn07624_c,,
rxn07971_c,,
rxn08014_c,myristate-[acyl-carrier-protein] ligase,
rxn08020_c,,
rxn08130_c,ADOMET-DMK-METHYLTRANSFER-RXN.c,
rxn08224_c,,
rxn08348_c,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",
rxn08349_c,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",
rxn08430_c,,
rxn08441_c,,
rxn08443_c,,
rxn08445_c,,
rxn08528_c,,
rxn08571_c,,
rxn08583_c,,
rxn08619_c,,
rxn08620_c,,
rxn08708_c,,
rxn08710_c,,
rxn08711_c,,
rxn08713_c,,
rxn08809_c,,
rxn08822_c,,
rxn09016_c,Nucleoside triphosphate tripolyhydrolase,
rxn09039_c,,
rxn09040_c,,
rxn09041_c,,
rxn09043_c,,
rxn09072_c,,
rxn09221_c,,
rxn09222_c,,
rxn09225_c,,
rxn09231_c,,
rxn09232_c,,
rxn09236_c,,
rxn09237_c,ribonucleoside-triphosphate reductase (CTP) (flavodoxin),
rxn09238_c,,
rxn09348_c,,
rxn09370_c,RXN-7610.c,
rxn09398_c,glycogen synthase (UDPGlc),
rxn09429_c,,
rxn09431_c,,
rxn09436_c,,
rxn09437_c,,
rxn09457_c,,
rxn09458_c,,
rxn09466_c,,
rxn09467_c,,
rxn09472_c,,
rxn09502_c,,
rxn09566_c,,
rxn09637_c,,
rxn09638_c,,
rxn09652_c,,
rxn09658_c,TRANS-RXNAVI-26524.ce.brachyexp.SUCROSE_SUCROSE,
rxn09663_c,TRANS-RXNAVI-26524.ce.brachyexp.CPD-10330_CPD-10330,
rxn09681_c,D-fructose transport in via proton symport,
rxn09698_c,,
rxn09888_c,,
rxn09950_c,,
rxn09997_c,,
rxn10008_c,,
rxn10030_c,,
rxn10036_c,,
rxn10053_c,,
rxn10059_c,,
rxn10114_c,,
rxn10115_c,,
rxn10175_c,,
rxn10204_c,,
rxn10206_c,,
rxn10213_c,,
rxn10220_c,,
rxn10221_c,,
rxn10265_c,,
rxn10448_c,,
rxn10473_c,,
rxn10482_c,,
rxn10484_c,,
rxn10584_c,,
rxn10594_c,,
rxn10615_c,thiosulfate reductase,
rxn10663_c,,
rxn10665_c,,
rxn10667_c,,
rxn10838_c,,
rxn10878_c,Pyruvate Oxidase (2),
rxn10919_c,,
rxn10946_c,TRANS-RXNBWI-115394.ce,
rxn10966_c,,
rxn10993_c,,
rxn11004_c,,
rxn11040_c,,
rxn11077_c,,
rxn11132_c,,
rxn11174_c,,
rxn11200_c,methionine--phenylpyruvate transaminase,
rxn11208_c,,
rxn11267_c,ribose-phosphate pyrophosphokinase,
rxn11346_c,,
rxn11347_c,,
rxn11355_c,,
rxn11384_c,,
rxn11398_c,meso-Tartrate transport in via proton symport,
rxn11567_c,,
rxn11587_c,,
rxn11609_c,,
rxn11610_c,,
rxn11612_c,,
rxn11650_c,,
rxn11674_c,,
rxn11676_c,,
rxn11732_c,,
rxn11735_c,,
rxn11944_c,,
rxn11945_c,,
rxn11946_c,,
rxn11951_c,,
rxn11974_c,,
rxn12204_c,,
rxn12215_c,,
rxn12217_c,,
rxn12224_c,,
rxn12510_c,,
rxn12551_c,TRANS-RXNAVI-26524.ce.brachyexp.CPD-355_CPD-355,
rxn12571_c,Quinate transport via proton symport,
rxn12587_c,TRANS-RXNAVI-26524.ce.brachyexp.MANNITOL_MANNITOL,
rxn12591_c,"(R,R)-Tartaric acid transport via proton symport",
rxn12612_c,N-Acetyl-L-glutamate transport via proton symport,
rxn12641_c,,
rxn12739_c,,
rxn13022_c,,
rxn13139_c,,
rxn13143_c,,
rxn13149_c,,
rxn13647_c,"nitrite Reductase (Ubiquinole-8, periplasm)",
rxn13648_c,,
rxn13722_c,,
rxn13771_c,,
rxn13834_c,,
rxn13847_c,,
rxn13905_c,,
rxn14039_c,,
rxn14077_c,,
rxn14144_c,,
rxn15046_c,,
rxn15049_c,,
rxn15057_c,,
rxn15060_c,,
rxn15062_c,,
rxn15091_c,,
rxn15112_c,,
rxn15172_c,,
rxn15220_c,,
rxn15248_c,,
rxn15296_c,,
rxn15307_c,,
rxn15657_c,,
rxn15661_c,,
rxn15669_c,,
rxn15750_c,,
rxn16140_c,,
rxn16284_c,,
rxn16359_c,,
rxn16646_c,,
rxn18929_c,,
rxn18934_c,,
rxn18965_c,,
rxn19024_c,,
rxn19080_c,,
rxn19445_c,,
rxn19544_c,,
rxn19630_c,DMK-RXN.p,
rxn20001_c,,
rxn20060_c,,
rxn20495_c,,
rxn20508_c,,
rxn20627_c,,
rxn20664_c,,
rxn21438_c,,
rxn21635_c,,
rxn23024_c,,
rxn23132_c,,
rxn23244_c,,
rxn23629_c,,
rxn23648_c,,
rxn23650_c,,
rxn23730_c,,
rxn24108_c,,
rxn24940_c,,
rxn25164_c,,
rxn25186_c,,
rxn25273_c,propionyl-coA synthase,
rxn25583_c,,
rxn25741_c,,
rxn25799_c,,
rxn26761_c,,
rxn28948_c,,
rxn29982_c,,
rxn30043_c,,
rxn30069_c,,
rxn30076_c,,
rxn30091_c,,
rxn30302_c,,
rxn30314_c,,
rxn30486_c,,
rxn30514_c,,
rxn30524_c,,
rxn30594_c,,
rxn30753_c,,
rxn33675_c,,
rxn33937_c,,
rxn34022_c,,
rxn34582_c,,
rxn35475_c,,
rxn35484_c,,
rxn35674_c,,
rxn36392_c,,
rxn36672_c,,
rxn36673_c,,
rxn37018_c,,
rxn37019_c,,
rxn37045_c,,
rxn37050_c,,
rxn37372_c,,
rxn37663_c,,
rxn37664_c,,
rxn37695_c,,
rxn37797_c,,
rxn38866_c,,
rxn38867_c,,
rxn38868_c,,
rxn38886_c,,
rxn38894_c,,
rxn38902_c,,
rxn38903_c,,
rxn38905_c,,
rxn38906_c,,
rxn38907_c,,
rxn38908_c,,
